infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
être,être,étant,été,–
avoir,avoir,ayant,eu,–
aller,aller,allant,allé,–
faire,faire,faisant,fait,se faire 
dire,dire,disant,dit,se dire 
pouvoir,pouvoir,pouvant,pu,se pouvoir 
vouloir,vouloir,voulant,voulu,se vouloir 
savoir,savoir,sachant,su,se savoir 
voir,voir,voyant,vu,se voir 
devoir,devoir,devant,dû,se devoir
venir,tenir,venant,venu,–
suivre,suivre,suivant,suivi,se suivre 
parler,parler,parlant,parlé,se parler 
prendre,prendre,prenant,pris,se prendre 
croire,croire,croyant,cru,se croire 
aimer,parler,aimant,aimé,s'aimer 
falloir,falloir,–,fallu,–
passer,parler,passant,passé,se passer 
penser,parler,pensant,pensé,se penser 
attendre,vendre,attendant,attendu,s'attendre 
trouver,parler,trouvant,trouvé,se trouver 
laisser,parler,laissant,laissé,se laisser 
arriver,parler,arrivant,arrivé,–
donner,parler,donnant,donné,se donner 
regarder,parler,regardant,regardé,se regarder 
appeler,appeler,appelant,appelé,s'appeler 
partir,partir,partant,parti,–
mettre,mettre,mettant,mis,se mettre 
rester,parler,restant,resté,–
arrêter,parler,arrêtant,arrêté,s'arrêter 
connaître,connaître,connaissant,connu,se connaître 
tuer,parler,tuant,tué,se tuer 
mourir,mourir,mourant,mort,se mourir 
demander,parler,demandant,demandé,se demander 
comprendre,prendre,comprenant,compris,se comprendre 
sortir,partir,sortant,sorti,se sortir 
entendre,vendre,entendant,entendu,s'entendre 
chercher,parler,cherchant,cherché,se chercher 
aider,parler,aidant,aidé,s'aider 
essayer,payer,essayant,essayé,s'essayer 
revenir,tenir,revenant,revenu,–
plaire,plaire,plaisant,plu,se plaire 
jouer,parler,jouant,joué,se jouer 
finir,choisir,finissant,fini,se finir 
perdre,vendre,perdant,perdu,se perdre 
sentir,partir,sentant,senti,se sentir 
rentrer,parler,rentrant,rentré,se rentrer 
vivre,vivre,vivant,vécu,se vivre 
rendre,vendre,rendant,rendu,se rendre 
tenir,tenir,tenant,tenu,se tenir 
oublier,copier,oubliant,oublié,s'oublier 
travailler,parler,travaillant,travaillé,–
écouter,parler,écoutant,écouté,s'écouter 
manger,manger,mangeant,mangé,se manger 
entrer,parler,entrant,entré,–
devenir,tenir,devenant,devenu,–
commencer,commencer,commençant,commencé,se commencer 
payer,payer,payant,payé,se payer 
tirer,parler,tirant,tiré,se tirer 
ouvrir,ouvrir,ouvrant,ouvert,s'ouvrir 
changer,manger,changeant,changé,se changer 
tomber,parler,tombant,tombé,–
foutre,vendre,foutant,foutu,se foutre 
excuser,parler,excusant,excusé,s'excuser 
dormir,dormir,dormant,dormi,–
occuper,parler,occupant,occupé,s'occuper 
marcher,parler,marchant,marché,–
envoyer,envoyer,envoyant,envoyé,s'envoyer 
apprendre,prendre,apprenant,appris,s'apprendre 
boire,boire,buvant,bu,se boire 
garder,parler,gardant,gardé,se garder 
montrer,parler,montrant,montré,se montrer 
asseoir,asseoir,"asseyant, assoyant",assis,s'asseoir 
porter,parler,portant,porté,se porter 
souvenir,tenir,souvenant,souvenu,se souvenir 
prier,copier,priant,prié,–
servir,servir,servant,servi,se servir 
écrire,écrire,écrivant,écrit,s'écrire 
espérer,céder,espérant,espéré,s'espérer 
désoler,parler,désolant,désolé,se désoler 
retrouver,parler,retrouvant,retrouvé,se retrouver 
gagner,parler,gagnant,gagné,–
acheter,acheter,achetant,acheté,s'acheter 
rappeler,appeler,rappelant,rappelé,se rappeler 
lire,lire,lisant,lu,se lire 
monter,parler,montant,monté,se monter 
quitter,parler,quittant,quitté,se quitter 
emmener,lever,emmenant,emmené,–
toucher,parler,touchant,touché,se toucher 
continuer,parler,continuant,continué,–
revoir,voir,revoyant,revu,se revoir 
importer,parler,important,importé,–
manquer,parler,manquant,manqué,–
raconter,parler,racontant,raconté,se raconter 
répondre,vendre,répondant,répondu,se répondre 
sauver,parler,sauvant,sauvé,se sauver 
retourner,parler,retournant,retourné,se retourner 
rencontrer,parler,rencontrant,rencontré,se rencontrer 
voler,parler,volant,volé,se voler 
fermer,parler,fermant,fermé,se fermer 
valoir,valoir,valant,valu,se valoir 
descendre,vendre,descendant,descendu,se descendre 
suffire,confire,suffisant,"i class=""defect""suffii",se suffire 
sembler,parler,semblant,semblé,se sembler 
compter,parler,comptant,compté,se compter 
marier,copier,mariant,marié,se marier 
poser,parler,posant,posé,se poser 
inquiéter,céder,inquiétant,inquiété,s'inquiéter 
bouger,manger,bougeant,bougé,se bouger 
apporter,parler,apportant,apporté,–
décider,parler,décidant,décidé,se décider 
vendre,vendre,vendant,vendu,se vendre 
tourner,parler,tournant,tourné,se tourner 
cacher,parler,cachant,caché,se cacher 
expliquer,parler,expliquant,expliqué,s'expliquer 
battre,battre,battant,battu,se battre 
agir,choisir,agissant,agi,s'agir 
imaginer,parler,imaginant,imaginé,s'imaginer 
adorer,parler,adorant,adoré,s'adorer 
recevoir,recevoir,recevant,reçu,se recevoir 
jeter,appeler,jetant,jeté,se jeter 
pleurer,parler,pleurant,pleuré,–
amener,lever,amenant,amené,s'amener 
promettre,mettre,promettant,promis,se promettre 
mentir,partir,mentant,menti,se mentir 
utiliser,parler,utilisant,utilisé,–
coucher,parler,couchant,couché,se coucher 
préférer,céder,préférant,préféré,se préférer 
offrir,ouvrir,offrant,offert,s'offrir 
réveiller,parler,réveillant,réveillé,se réveiller 
préparer,parler,préparant,préparé,se préparer 
permettre,mettre,permettant,permis,se permettre 
ramener,lever,ramenant,ramené,se ramener 
enlever,lever,enlevant,enlevé,–
lâcher,parler,lâchant,lâché,se lâcher 
choisir,choisir,choisissant,choisi,se choisir 
conduire,traduire,conduisant,conduit,se conduire 
calmer,parler,calmant,calmé,se calmer 
chanter,parler,chantant,chanté,–
disparaître,connaître,disparaissant,disparu,–
lever,lever,levant,levé,se lever 
présenter,parler,présentant,présenté,se présenter 
accepter,parler,acceptant,accepté,s'accepter 
casser,parler,cassant,cassé,se casser 
frapper,parler,frappant,frappé,se frapper 
ignorer,parler,ignorant,ignoré,s'ignorer 
couper,parler,coupant,coupé,se couper 
super,parler,supant,supé,–
taire,plaire,taisant,tu,se taire 
tromper,parler,trompant,trompé,se tromper 
ressembler,parler,ressemblant,ressemblé,se ressembler 
jurer,parler,jurant,juré,se jurer 
courir,courir,courant,couru,se courir 
remettre,mettre,remettant,remis,se remettre 
refuser,parler,refusant,refusé,se refuser 
terminer,parler,terminant,terminé,se terminer 
amuser,parler,amusant,amusé,s'amuser 
intéresser,parler,intéressant,intéressé,s'intéresser 
reconnaître,connaître,reconnaissant,reconnu,se reconnaître 
rire,rire,riant,ri,se rire 
pardonner,parler,pardonnant,pardonné,se pardonner 
embrasser,parler,embrassant,embrassé,–
danser,parler,dansant,dansé,–
exister,parler,existant,existé,–
réussir,choisir,réussissant,réussi,–
protéger,protéger,protégeant,protégé,se protéger 
prévenir,tenir,prévenant,prévenu,se prévenir 
habiter,parler,habitant,habité,–
déranger,manger,dérangeant,dérangé,se déranger 
reprendre,prendre,reprenant,repris,se reprendre 
détruire,traduire,détruisant,détruit,se détruire 
